레벨,굴러숭이,불꽃숭이,진불꽃숭이,통나무숭이,바위숭이,폭탄숭이,소환숭이,주술사숭이,제사장숭이,숭오공,도사숭이,제천대숭,골렘숭이,골렘숭이mk.2,자이언트숭,양손,바구니,노가다,수레,유모차,마차,자전거,툭툭이,오토바이,카피바라,타조,코끼리,열기구,비행기,UFO
132,6552 ,155617 ,84390345789 ,1719980 ,84591042889 ,129573304208 ,103526417853 ,620093757567 ,630104070626282 ,209215096332 ,16537198598635 ,1142465804412890 ,499767586701975 ,649691112447767 ,3014847546237220 ,6552 ,155617 ,84390345789 ,1719980 ,84591042889 ,129573304208 ,103526417853 ,620093757567 ,630104070626282 ,209215096332 ,16537198598635 ,1142465804412890 ,499767586701975 ,649691112447767 ,3014847546237220 
133,6814 ,161842 ,87765959621 ,1788779 ,87974684605 ,134756236376 ,107667474567 ,644897507869 ,655308233451334 ,217583700185 ,17198686542580 ,1188164436589410 ,519758290170055 ,675678756945677 ,3135441448086710 ,6814 ,161842 ,87765959621 ,1788779 ,87974684605 ,134756236376 ,107667474567 ,644897507869 ,655308233451334 ,217583700185 ,17198686542580 ,1188164436589410 ,519758290170055 ,675678756945677 ,3135441448086710 
134,7087 ,168316 ,91276598006 ,1860330 ,91493671989 ,140146485831 ,111974173550 ,670693408184 ,681520562789387 ,226287048192 ,17886634004283 ,1235691014052980 ,540548621776857 ,702705907223505 ,3260859106010180 ,7087 ,168316 ,91276598006 ,1860330 ,91493671989 ,140146485831 ,111974173550 ,670693408184 ,681520562789387 ,226287048192 ,17886634004283 ,1235691014052980 ,540548621776857 ,702705907223505 ,3260859106010180 
135,7370 ,175048 ,94927661926 ,1934744 ,95153418869 ,145752345265 ,116453140492 ,697521144511 ,708781385300963 ,235338530120 ,18602099364455 ,1285118654615100 ,562170566647931 ,730814143512445 ,3391293470250580 ,7370 ,175048 ,94927661926 ,1934744 ,95153418869 ,145752345265 ,116453140492 ,697521144511 ,708781385300963 ,235338530120 ,18602099364455 ,1285118654615100 ,562170566647931 ,730814143512445 ,3391293470250580 
136,7665 ,182050 ,98724768403 ,2012133 ,98959555623 ,151582439075 ,121111266111 ,725421990292 ,737132640713001 ,244752071325 ,19346183339033 ,1336523400799710 ,584657389313848 ,760046709252943 ,3526945209060610 ,7665 ,182050 ,98724768403 ,2012133 ,98959555623 ,151582439075 ,121111266111 ,725421990292 ,737132640713001 ,244752071325 ,19346183339033 ,1336523400799710 ,584657389313848 ,760046709252943 ,3526945209060610 
137,7972 ,189332 ,102673759139 ,2092619 ,102917937848 ,157645736638 ,125955716756 ,754438869903 ,766617946341521 ,254542154178 ,20120030672594 ,1389984336831690 ,608043684886402 ,790448577623060 ,3668023017423030 ,7972 ,189332 ,102673759139 ,2092619 ,102917937848 ,157645736638 ,125955716756 ,754438869903 ,766617946341521 ,254542154178 ,20120030672594 ,1389984336831690 ,608043684886402 ,790448577623060 ,3668023017423030 
138,8291 ,196905 ,106780709505 ,2176323 ,107034655362 ,163951566104 ,130993945426 ,784616424700 ,797282664195182 ,264723840345 ,20924831899498 ,1445583710304960 ,632365432281858 ,822066520727983 ,3814743938119950 ,8291 ,196905 ,106780709505 ,2176323 ,107034655362 ,163951566104 ,130993945426 ,784616424700 ,797282664195182 ,264723840345 ,20924831899498 ,1445583710304960 ,632365432281858 ,822066520727983 ,3814743938119950 
139,8622 ,204782 ,111051937885 ,2263376 ,111316041577 ,170509628748 ,136233703243 ,816001081688 ,829173970762990 ,275312793959 ,21761825175478 ,1503407058717160 ,657660049573133 ,854949181557102 ,3967333695644750 ,8622 ,204782 ,111051937885 ,2263376 ,111316041577 ,170509628748 ,136233703243 ,816001081688 ,829173970762990 ,275312793959 ,21761825175478 ,1503407058717160 ,657660049573133 ,854949181557102 ,3967333695644750 
140,8967 ,212973 ,115494015400 ,2353911 ,115768683240 ,177330013898 ,141683051373 ,848641124955 ,862340929593509 ,286325305717 ,22632298182497 ,1563543341065850 ,683966451556058 ,889147148819386 ,4126027043470540 ,8967 ,212973 ,115494015400 ,2353911 ,115768683240 ,177330013898 ,141683051373 ,848641124955 ,862340929593509 ,286325305717 ,22632298182497 ,1563543341065850 ,683966451556058 ,889147148819386 ,4126027043470540 
141,9326 ,221492 ,120113776016 ,2448068 ,120399430569 ,184423214454 ,147350373428 ,882586769953 ,896834566777250 ,297778317946 ,23537590109797 ,1626085074708480 ,711325109618301 ,924713034772162 ,4291068125209360 ,9326 ,221492 ,120113776016 ,2448068 ,120399430569 ,184423214454 ,147350373428 ,882586769953 ,896834566777250 ,297778317946 ,23537590109797 ,1626085074708480 ,711325109618301 ,924713034772162 ,4291068125209360 
142,9699 ,230352 ,124918327057 ,2545991 ,125215407792 ,191800143032 ,153244388365 ,917890240751 ,932707949448340 ,309689450664 ,24479093714189 ,1691128477696820 ,739778114003033 ,961701556163048 ,4462710850217740 ,9699 ,230352 ,124918327057 ,2545991 ,125215407792 ,191800143032 ,153244388365 ,917890240751 ,932707949448340 ,309689450664 ,24479093714189 ,1691128477696820 ,739778114003033 ,961701556163048 ,4462710850217740 
143,10087 ,239566 ,129915060139 ,2647830 ,130224024104 ,199472148753 ,159374163899 ,954605850381 ,970016267426273 ,322077028690 ,25458257462756 ,1758773616804690 ,769369238563154 ,1000169618409570 ,4641219284226450 ,10087 ,239566 ,129915060139 ,2647830 ,130224024104 ,199472148753 ,159374163899 ,954605850381 ,970016267426273 ,322077028690 ,25458257462756 ,1758773616804690 ,769369238563154 ,1000169618409570 ,4641219284226450 
144,10490 ,249148 ,135111662545 ,2753743 ,135432985068 ,207451034703 ,165749130455 ,992790084397 ,1008816918123320 ,334960109838 ,26476587761266 ,1829124561476880 ,800144008105680 ,1040176403145950 ,4826868055595500 ,10490 ,249148 ,135111662545 ,2753743 ,135432985068 ,207451034703 ,165749130455 ,992790084397 ,1008816918123320 ,334960109838 ,26476587761266 ,1829124561476880 ,800144008105680 ,1040176403145950 ,4826868055595500 
145,10910 ,259114 ,140516129047 ,2863893 ,140850304471 ,215749076091 ,172379095674 ,1032501687773 ,1049169594848260 ,348358514231 ,27535651271717 ,1902289543935960 ,832149768429907 ,1081783459271790 ,5019942777819320 ,10910 ,259114 ,140516129047 ,2863893 ,140850304471 ,215749076091 ,172379095674 ,1032501687773 ,1049169594848260 ,348358514231 ,27535651271717 ,1902289543935960 ,832149768429907 ,1081783459271790 ,5019942777819320 
146,11346 ,269479 ,146136774208 ,2978449 ,146484316650 ,224379039135 ,179274259501 ,1073801755284 ,1091136378642190 ,362292854801 ,28637077322586 ,1978381125693400 ,865435759167104 ,1125054797642660 ,5220740488932100 ,11346 ,269479 ,146136774208 ,2978449 ,146484316650 ,224379039135 ,179274259501 ,1073801755284 ,1091136378642190 ,362292854801 ,28637077322586 ,1978381125693400 ,865435759167104 ,1125054797642660 ,5220740488932100 
147,11800 ,280258 ,151982245177 ,3097587 ,152343689316 ,233354200700 ,186445229881 ,1116753825495 ,1134781833787880 ,376784568993 ,29782560415489 ,2057516370721130 ,900053189533788 ,1170056989548370 ,5429570108489380 ,11800 ,280258 ,151982245177 ,3097587 ,152343689316 ,233354200700 ,186445229881 ,1116753825495 ,1134781833787880 ,376784568993 ,29782560415489 ,2057516370721130 ,900053189533788 ,1170056989548370 ,5429570108489380 
148,12272 ,291468 ,158061534984 ,3221490 ,158437436888 ,242688368728 ,193903039076 ,1161423978515 ,1180173107139390 ,391855951752 ,30973862832109 ,2139817025549980 ,936055317115139 ,1216859269130300 ,5646752912828960 ,12272 ,291468 ,158061534984 ,3221490 ,158437436888 ,242688368728 ,193903039076 ,1161423978515 ,1180173107139390 ,391855951752 ,30973862832109 ,2139817025549980 ,936055317115139 ,1216859269130300 ,5646752912828960 
149,12763 ,303127 ,164383996383 ,3350350 ,164774934364 ,252395903477 ,201659160639 ,1207880937655 ,1227380031424970 ,407530189823 ,32212817345393 ,2225409706571980 ,973497529799745 ,1265533639895520 ,5872623029342110 ,12763 ,303127 ,164383996383 ,3350350 ,164774934364 ,252395903477 ,201659160639 ,1207880937655 ,1227380031424970 ,407530189823 ,32212817345393 ,2225409706571980 ,973497529799745 ,1265533639895520 ,5872623029342110 
150,13274 ,315252 ,170959356239 ,3484364 ,171365931738 ,262491739617 ,209725527064 ,1256196175161 ,1276475232681960 ,423831397415 ,33501330039209 ,2314426094834850 ,1012437430991730 ,1316154985491340 ,6107527950515800 ,13274 ,315252 ,170959356239 ,3484364 ,171365931738 ,262491739617 ,209725527064 ,1256196175161 ,1276475232681960 ,423831397415 ,33501330039209 ,2314426094834850 ,1012437430991730 ,1316154985491340 ,6107527950515800 
151,13805 ,327862 ,177797730488 ,3623739 ,178220569008 ,272991409201 ,218114548147 ,1306444022168 ,1327534241989240 ,440784653312 ,34841383240777 ,2407003138628250 ,1052934928231400 ,1368801184910990 ,6351829068536430 ,13805 ,327862 ,177797730488 ,3623739 ,178220569008 ,272991409201 ,218114548147 ,1306444022168 ,1327534241989240 ,440784653312 ,34841383240777 ,2407003138628250 ,1052934928231400 ,1368801184910990 ,6351829068536430 
152,14357 ,340977 ,184909639708 ,3768688 ,185349391768 ,283911065569 ,226839130073 ,1358701783055 ,1380635611668810 ,458416039445 ,36235038570408 ,2503283264173380 ,1095052325360660 ,1423553232307430 ,6605902231277890 ,14357 ,340977 ,184909639708 ,3768688 ,185349391768 ,283911065569 ,226839130073 ,1358701783055 ,1380635611668810 ,458416039445 ,36235038570408 ,2503283264173380 ,1095052325360660 ,1423553232307430 ,6605902231277890 
153,14931 ,354616 ,192306025296 ,3919436 ,192763367439 ,295267508192 ,235912695276 ,1413049854377 ,1435861036135570 ,476752681022 ,37684440113225 ,2603414594740310 ,1138854418375090 ,1480495361599730 ,6870138320529010 ,14931 ,354616 ,192306025296 ,3919436 ,192763367439 ,295267508192 ,235912695276 ,1413049854377 ,1435861036135570 ,476752681022 ,37684440113225 ,2603414594740310 ,1138854418375090 ,1480495361599730 ,6870138320529010 
154,15528 ,368800 ,199998266308 ,4076213 ,200473902136 ,307078208520 ,245349203087 ,1469571848552 ,1493295477580990 ,495822788263 ,39191817717754 ,2707551178529930 ,1184408595110090 ,1539715176063720 ,7144943853350170 ,15528 ,368800 ,199998266308 ,4076213 ,200473902136 ,307078208520 ,245349203087 ,1469571848552 ,1493295477580990 ,495822788263 ,39191817717754 ,2707551178529930 ,1184408595110090 ,1539715176063720 ,7144943853350170 
155,16150 ,383552 ,207998196960 ,4239262 ,208492858222 ,319361336860 ,255163171210 ,1528354722494 ,1553027296684230 ,515655699794 ,40759490426464 ,2815853225671120 ,1231784938914490 ,1601303783106270 ,7430741607484170 ,16150 ,383552 ,207998196960 ,4239262 ,208492858222 ,319361336860 ,255163171210 ,1528354722494 ,1553027296684230 ,515655699794 ,40759490426464 ,2815853225671120 ,1231784938914490 ,1601303783106270 ,7430741607484170 
156,16796 ,398894 ,216318124839 ,4408832 ,216832572551 ,332135790335 ,265369698059 ,1589488911394 ,1615148388551600 ,536281927786 ,42389870043522 ,2928487354697970 ,1281056336471070 ,1665355934430520 ,7727971271783540 ,16796 ,398894 ,216318124839 ,4408832 ,216832572551 ,332135790335 ,265369698059 ,1589488911394 ,1615148388551600 ,536281927786 ,42389870043522 ,2928487354697970 ,1281056336471070 ,1665355934430520 ,7727971271783540 
157,17467 ,414850 ,224970849832 ,4585185 ,225505875453 ,345421221948 ,275984485981 ,1653068467849 ,1679754324093660 ,557733204897 ,44085464845263 ,3045626848885890 ,1332298589929920 ,1731970171807740 ,8037090122654880 ,17467 ,414850 ,224970849832 ,4585185 ,225505875453 ,345421221948 ,275984485981 ,1653068467849 ,1679754324093660 ,557733204897 ,44085464845263 ,3045626848885890 ,1332298589929920 ,1731970171807740 ,8037090122654880 
158,18166 ,431444 ,233969683825 ,4768593 ,234526110471 ,359238070826 ,287023865420 ,1719191206563 ,1746944497057410 ,580042533093 ,45848883439074 ,3167451922841320 ,1385590533527110 ,1801248978680050 ,8358573727561080 ,18166 ,431444 ,233969683825 ,4768593 ,234526110471 ,359238070826 ,287023865420 ,1719191206563 ,1746944497057410 ,580042533093 ,45848883439074 ,3167451922841320 ,1385590533527110 ,1801248978680050 ,8358573727561080 
159,18893 ,448702 ,243328471178 ,4959336 ,243907154890 ,373607593659 ,298504820037 ,1787958854826 ,1816822276939700 ,603244234417 ,47682838776637 ,3294149999754980 ,1441014154868200 ,1873298937827250 ,8692916676663520 ,18893 ,448702 ,243328471178 ,4959336 ,243907154890 ,373607593659 ,298504820037 ,1787958854826 ,1816822276939700 ,603244234417 ,47682838776637 ,3294149999754980 ,1441014154868200 ,1873298937827250 ,8692916676663520 
160,19648 ,466650 ,253061610026 ,5157710 ,253663441085 ,388551897406 ,310445012838 ,1859477209019 ,1889495168017290 ,627374003793 ,49590152327702 ,3425915999745180 ,1498654721062930 ,1948230895340340 ,9040633343730060 ,19648 ,466650 ,253061610026 ,5157710 ,253663441085 ,388551897406 ,310445012838 ,1859477209019 ,1889495168017290 ,627374003793 ,49590152327702 ,3425915999745180 ,1498654721062930 ,1948230895340340 ,9040633343730060 
161,20434 ,485316 ,263184074427 ,5364018 ,263809978729 ,404093973302 ,322862813352 ,1933856297380 ,1965074974737980 ,652468963945 ,51573758420810 ,3562952639734980 ,1558600909905440 ,2026160131153950 ,9402258677479260 ,20434 ,485316 ,263184074427 ,5364018 ,263809978729 ,404093973302 ,322862813352 ,1933856297380 ,1965074974737980 ,652468963945 ,51573758420810 ,3562952639734980 ,1558600909905440 ,2026160131153950 ,9402258677479260 
162,21252 ,504729 ,273711437404 ,5578579 ,274362377878 ,420257732234 ,335777325886 ,2011210549275 ,2043677973727500 ,678567722503 ,53636708757643 ,3705470745324380 ,1620944946301660 ,2107206536400110 ,9778349024578430 ,21252 ,504729 ,273711437404 ,5578579 ,274362377878 ,420257732234 ,335777325886 ,2011210549275 ,2043677973727500 ,678567722503 ,53636708757643 ,3705470745324380 ,1620944946301660 ,2107206536400110 ,9778349024578430 
163,22102 ,524918 ,284659894900 ,5801722 ,285336872993 ,437068041523 ,349208418922 ,2091658971246 ,2125425092676600 ,705710431403 ,55782177107948 ,3853689575137360 ,1685782744153730 ,2191494797856120 ,10169482985561600 ,22102 ,524918 ,284659894900 ,5801722 ,285336872993 ,437068041523 ,349208418922 ,2091658971246 ,2125425092676600 ,705710431403 ,55782177107948 ,3853689575137360 ,1685782744153730 ,2191494797856120 ,10169482985561600 
164,22986 ,545914 ,296046290696 ,6033791 ,296750347913 ,454550763184 ,363176755678 ,2175325330096 ,2210442096383670 ,733938848659 ,58013464192266 ,4007837158142850 ,1753214053919880 ,2279154589770360 ,10576262304984000 ,22986 ,545914 ,296046290696 ,6033791 ,296750347913 ,454550763184 ,363176755678 ,2175325330096 ,2210442096383670 ,733938848659 ,58013464192266 ,4007837158142850 ,1753214053919880 ,2279154589770360 ,10576262304984000 
165,23905 ,567751 ,307888142324 ,6275143 ,308620361829 ,472732793712 ,377703825906 ,2262338343300 ,2298859780239010 ,763296402605 ,60334002759957 ,4168150644468570 ,1823342616076670 ,2370320773361170 ,10999312797183400 ,23905 ,567751 ,307888142324 ,6275143 ,308620361829 ,472732793712 ,377703825906 ,2262338343300 ,2298859780239010 ,763296402605 ,60334002759957 ,4168150644468570 ,1823342616076670 ,2370320773361170 ,10999312797183400 
166,24862 ,590461 ,320203668016 ,6526148 ,320965176302 ,491642105460 ,392811978942 ,2352831877032 ,2390814171448580 ,793828258709 ,62747362870355 ,4334876670247310 ,1896276320719740 ,2465133604295620 ,11439285309070700 ,24862 ,590461 ,320203668016 ,6526148 ,320965176302 ,491642105460 ,392811978942 ,2352831877032 ,2390814171448580 ,793828258709 ,62747362870355 ,4334876670247310 ,1896276320719740 ,2465133604295620 ,11439285309070700 
167,25856 ,614079 ,333011814737 ,6787194 ,333803783354 ,511307789678 ,408524458099 ,2446945152113 ,2486446738306520 ,825581389058 ,65257257385169 ,4508271737057200 ,1972127373548530 ,2563738948467450 ,11896856721433600 ,25856 ,614079 ,333011814737 ,6787194 ,333803783354 ,511307789678 ,408524458099 ,2446945152113 ,2486446738306520 ,825581389058 ,65257257385169 ,4508271737057200 ,1972127373548530 ,2563738948467450 ,11896856721433600 
168,26890 ,638643 ,346332287327 ,7058682 ,347155934689 ,531760101266 ,424865436423 ,2544822958197 ,2585904607838780 ,858604644620 ,67867547680576 ,4688602606539490 ,2051012468490470 ,2666288506406140 ,12372730990290900 ,26890 ,638643 ,346332287327 ,7058682 ,347155934689 ,531760101266 ,424865436423 ,2544822958197 ,2585904607838780 ,858604644620 ,67867547680576 ,4688602606539490 ,2051012468490470 ,2666288506406140 ,12372730990290900 
169,27966 ,664188 ,360185578820 ,7341029 ,361042172076 ,553030505316 ,441860053880 ,2646615876525 ,2689340792152330 ,892948830405 ,70582249587799 ,4876146710801070 ,2133052967230090 ,2772940046662390 ,12867640229902500 ,27966 ,664188 ,360185578820 ,7341029 ,361042172076 ,553030505316 ,441860053880 ,2646615876525 ,2689340792152330 ,892948830405 ,70582249587799 ,4876146710801070 ,2133052967230090 ,2772940046662390 ,12867640229902500 
170,29084 ,690756 ,374593001972 ,7634671 ,375483858959 ,575151725529 ,459534456036 ,2752480511586 ,2796914423838420 ,928666783621 ,73405539571311 ,5071192579233110 ,2218375085919290 ,2883857648528890 ,13382345839098600 ,29084 ,690756 ,374593001972 ,7634671 ,375483858959 ,575151725529 ,459534456036 ,2752480511586 ,2796914423838420 ,928666783621 ,73405539571311 ,5071192579233110 ,2218375085919290 ,2883857648528890 ,13382345839098600 
171,30248 ,718386 ,389576722051 ,7940057 ,390503213317 ,598157794550 ,477915834277 ,2862579732050 ,2908791000791960 ,965813454966 ,76341761154164 ,5274040282402440 ,2307110089356060 ,2999211954470040 ,13917639672662600 ,30248 ,718386 ,389576722051 ,7940057 ,390503213317 ,598157794550 ,477915834277 ,2862579732050 ,2908791000791960 ,965813454966 ,76341761154164 ,5274040282402440 ,2307110089356060 ,2999211954470040 ,13917639672662600 
172,31458 ,747122 ,405159790933 ,8257660 ,406123341850 ,622084106332 ,497032467648 ,2977082921332 ,3025142640823640 ,1004445993165 ,79395431600330 ,5485001893698540 ,2399394492930310 ,3119180432648840 ,14474345259569100 ,31458 ,747122 ,405159790933 ,8257660 ,406123341850 ,622084106332 ,497032467648 ,2977082921332 ,3025142640823640 ,1004445993165 ,79395431600330 ,5485001893698540 ,2399394492930310 ,3119180432648840 ,14474345259569100 
173,32716 ,777006 ,421366182571 ,8587966 ,422368275524 ,646967470585 ,516913766354 ,3096166238185 ,3146148346456590 ,1044623832891 ,82571248864343 ,5704401969446480 ,2495370272647520 ,3243947649954800 ,15053319069951900 ,32716 ,777006 ,421366182571 ,8587966 ,422368275524 ,646967470585 ,516913766354 ,3096166238185 ,3146148346456590 ,1044623832891 ,82571248864343 ,5704401969446480 ,2495370272647520 ,3243947649954800 ,15053319069951900 
174,34025 ,808087 ,438220829874 ,8931485 ,439263006545 ,672846169409 ,537590317008 ,3220012887712 ,3271994280314850 ,1086408786207 ,85874098818917 ,5932578048224340 ,2595185083553420 ,3373705555952990 ,15655451832749900 ,34025 ,808087 ,438220829874 ,8931485 ,439263006545 ,672846169409 ,537590317008 ,3220012887712 ,3271994280314850 ,1086408786207 ,85874098818917 ,5932578048224340 ,2595185083553420 ,3373705555952990 ,15655451832749900 
175,35386 ,840410 ,455749663069 ,9288744 ,456833526807 ,699760016185 ,559093929688 ,3348813403221 ,3402874051527440 ,1129865137655 ,89309062771674 ,6169881170153310 ,2698992486895560 ,3508653778191110 ,16281669906059900 ,35386 ,840410 ,455749663069 ,9288744 ,456833526807 ,699760016185 ,559093929688 ,3348813403221 ,3402874051527440 ,1129865137655 ,89309062771674 ,6169881170153310 ,2698992486895560 ,3508653778191110 ,16281669906059900 
176,36801 ,874027 ,473979649591 ,9660294 ,475106867879 ,727750416832 ,581457686876 ,3482765939350 ,3538989013588540 ,1175059743161 ,92881425282541 ,6416676416959440 ,2806952186371380 ,3648999929318750 ,16932936702302300 ,36801 ,874027 ,473979649591 ,9660294 ,475106867879 ,727750416832 ,581457686876 ,3482765939350 ,3538989013588540 ,1175059743161 ,92881425282541 ,6416676416959440 ,2806952186371380 ,3648999929318750 ,16932936702302300 
177,38273 ,908988 ,492938835575 ,10046706 ,494111142594 ,756860433506 ,604715994351 ,3622076576924 ,3680548574132080 ,1222062132888 ,96596682293842 ,6673343473637820 ,2919230273826240 ,3794959926491500 ,17610254170394400 ,38273 ,908988 ,492938835575 ,10046706 ,494111142594 ,756860433506 ,604715994351 ,3622076576924 ,3680548574132080 ,1222062132888 ,96596682293842 ,6673343473637820 ,2919230273826240 ,3794959926491500 ,17610254170394400 
178,39804 ,945347 ,512656388998 ,10448574 ,513875588298 ,787134850846 ,628904634125 ,3766959640001 ,3827770517097370 ,1270944618203 ,100460549585596 ,6940277212583330 ,3035999484779280 ,3946758323551160 ,18314664337210200 ,39804 ,945347 ,512656388998 ,10448574 ,513875588298 ,787134850846 ,628904634125 ,3766959640001 ,3827770517097370 ,1270944618203 ,100460549585596 ,6940277212583330 ,3035999484779280 ,3946758323551160 ,18314664337210200 
179,41396 ,983161 ,533162644558 ,10866517 ,534430611830 ,818620244880 ,654060819490 ,3917638025601 ,3980881337781260 ,1321782402932 ,104478971569020 ,7217888301086670 ,3157439464170460 ,4104628656493210 ,19047250910698600 ,41396 ,983161 ,533162644558 ,10866517 ,534430611830 ,818620244880 ,654060819490 ,3917638025601 ,3980881337781260 ,1321782402932 ,104478971569020 ,7217888301086670 ,3157439464170460 ,4104628656493210 ,19047250910698600 
180,43052 ,1022487 ,554489150340 ,11301177 ,555807836303 ,851365054675 ,680223252270 ,4074343546625 ,4140116591292510 ,1374653699049 ,108658130431781 ,7506603833130140 ,3283737042737270 ,4268813802752940 ,19809140947126600 ,43052 ,1022487 ,554489150340 ,11301177 ,555807836303 ,851365054675 ,680223252270 ,4074343546625 ,4140116591292510 ,1374653699049 ,108658130431781 ,7506603833130140 ,3283737042737270 ,4268813802752940 ,19809140947126600 
181,44774 ,1063387 ,576668716354 ,11753225 ,578040149755 ,885419656862 ,707432182360 ,4237317288490 ,4305721254944210 ,1429639847011 ,113004455649052 ,7806867986455340 ,3415086524446770 ,4439566354863060 ,20601506585011600 ,44774 ,1063387 ,576668716354 ,11753225 ,578040149755 ,885419656862 ,707432182360 ,4237317288490 ,4305721254944210 ,1429639847011 ,113004455649052 ,7806867986455340 ,3415086524446770 ,4439566354863060 ,20601506585011600 
182,46565 ,1105922 ,599735465008 ,12223354 ,601161755746 ,920836443136 ,735729469655 ,4406809980029 ,4477950105141980 ,1486825440891 ,117524633875014 ,8119142705913560 ,3551689985424640 ,4617149009057580 ,21425566848412100 ,46565 ,1105922 ,599735465008 ,12223354 ,601161755746 ,920836443136 ,735729469655 ,4406809980029 ,4477950105141980 ,1486825440891 ,117524633875014 ,8119142705913560 ,3551689985424640 ,4617149009057580 ,21425566848412100 
183,48428 ,1150159 ,623724883608 ,12712288 ,625208225975 ,957669900862 ,765158648441 ,4583082379231 ,4657068109347660 ,1546298458527 ,122225619230014 ,8443908414150100 ,3693757584841620 ,4801834969419880 ,22282589522348600 ,48428 ,1150159 ,623724883608 ,12712288 ,625208225975 ,957669900862 ,765158648441 ,4583082379231 ,4657068109347660 ,1546298458527 ,122225619230014 ,8443908414150100 ,3693757584841620 ,4801834969419880 ,22282589522348600 
184,50365 ,1196166 ,648673878953 ,13220779 ,650216555014 ,995976696896 ,795764994379 ,4766405674400 ,4843350833721570 ,1608150396868 ,127114643999215 ,8781664750716100 ,3841507888235290 ,4993908368196680 ,23173893103242500 ,50365 ,1196166 ,648673878953 ,13220779 ,650216555014 ,995976696896 ,795764994379 ,4766405674400 ,4843350833721570 ,1608150396868 ,127114643999215 ,8781664750716100 ,3841507888235290 ,4993908368196680 ,23173893103242500 
185,52379 ,1244012 ,674620834111 ,13749610 ,676225217215 ,1035815764772 ,827595594154 ,4957061901376 ,5037084867070430 ,1672476412743 ,132199229759184 ,9132931340744750 ,3995168203764700 ,5193664702924540 ,24100848827372200 ,52379 ,1244012 ,674620834111 ,13749610 ,676225217215 ,1035815764772 ,827595594154 ,4957061901376 ,5037084867070430 ,1672476412743 ,132199229759184 ,9132931340744750 ,3995168203764700 ,5193664702924540 ,24100848827372200 
186,54475 ,1293773 ,701605667475 ,14299595 ,703274225904 ,1077248395363 ,860699417920 ,5155344377431 ,5238568261753250 ,1739375469252 ,137487198949551 ,9498248594374540 ,4154974931915290 ,5401411291041530 ,25064882780467100 ,54475 ,1293773 ,701605667475 ,14299595 ,703274225904 ,1077248395363 ,860699417920 ,5155344377431 ,5238568261753250 ,1739375469252 ,137487198949551 ,9498248594374540 ,4154974931915290 ,5401411291041530 ,25064882780467100 
187,56654 ,1345524 ,729669894174 ,14871579 ,731405194940 ,1120338331178 ,895127394637 ,5361558152528 ,5448110992223380 ,1808950488022 ,142986686907533 ,9878178538149520 ,4321173929191900 ,5617467742683190 ,26067478091685800 ,56654 ,1345524 ,729669894174 ,14871579 ,731405194940 ,1120338331178 ,895127394637 ,5361558152528 ,5448110992223380 ,1808950488022 ,142986686907533 ,9878178538149520 ,4321173929191900 ,5617467742683190 ,26067478091685800 
188,58920 ,1399345 ,758856689941 ,15466442 ,760661402737 ,1165151864425 ,930932490422 ,5576020478629 ,5666035431912310 ,1881308507543 ,148706154383834 ,10273305679675500 ,4494020886359570 ,5842166452390510 ,27110177215353200 ,58920 ,1399345 ,758856689941 ,15466442 ,760661402737 ,1165151864425 ,930932490422 ,5576020478629 ,5666035431912310 ,1881308507543 ,148706154383834 ,10273305679675500 ,4494020886359570 ,5842166452390510 ,27110177215353200 
189,61277 ,1455319 ,789210957539 ,16085099 ,791087858847 ,1211757939002 ,968169790039 ,5799061297774 ,5892676849188800 ,1956560847845 ,154654400559188 ,10684237906862500 ,4673781721813960 ,6075853110486140 ,28194584303967300 ,61277 ,1455319 ,789210957539 ,16085099 ,791087858847 ,1211757939002 ,968169790039 ,5799061297774 ,5892676849188800 ,1956560847845 ,154654400559188 ,10684237906862500 ,4673781721813960 ,6075853110486140 ,28194584303967300 
190,63728 ,1513531 ,820779395840 ,16728503 ,822731373201 ,1260228256562 ,1006896581641 ,6031023749685 ,6128383923156360 ,2034823281759 ,160840576581555 ,11111607423137000 ,4860732990686520 ,6318887234905580 ,29322367676126000 ,63728 ,1513531 ,820779395840 ,16728503 ,822731373201 ,1260228256562 ,1006896581641 ,6031023749685 ,6128383923156360 ,2034823281759 ,160840576581555 ,11111607423137000 ,4860732990686520 ,6318887234905580 ,29322367676126000 
191,66277 ,1574073 ,853610571674 ,17397643 ,855640628129 ,1310637386824 ,1047172444906 ,6272264699673 ,6373519280082610 ,2116216213029 ,167274199644817 ,11556071720062500 ,5055162310313980 ,6571642724301810 ,30495262383171100 ,66277 ,1574073 ,853610571674 ,17397643 ,855640628129 ,1310637386824 ,1047172444906 ,6272264699673 ,6373519280082610 ,2116216213029 ,167274199644817 ,11556071720062500 ,5055162310313980 ,6571642724301810 ,30495262383171100 
192,68928 ,1637035 ,887754994541 ,18093549 ,889866253254 ,1363062882297 ,1089059342703 ,6523155287660 ,6628460051285920 ,2200864861550 ,173965167630610 ,12018314588865000 ,5257368802726540 ,6834508433273880 ,31715072878497900 ,68928 ,1637035 ,887754994541 ,18093549 ,889866253254 ,1363062882297 ,1089059342703 ,6523155287660 ,6628460051285920 ,2200864861550 ,173965167630610 ,12018314588865000 ,5257368802726540 ,6834508433273880 ,31715072878497900 
